Date,BTC/USD,RSUS.L,SCHX,GME,,,,,,
29/03/2020,0.015743409,0.036846926,0.101626779,0.122340426,,,,,,
05/04/2020,0.146754495,-0.056226492,-0.023892451,-0.336492891,,,,,,
12/04/2020,0.026499628,0.1462136,0.124936219,0.389285714,,,,,,
19/04/2020,0.031319772,-0.020131772,0.030220611,0.254498715,,,,,,
26/04/2020,0.068217194,0.012700822,-0.01276037,-0.022540984,,,,,,
03/05/2020,0.158544612,0.014754666,-0.000445684,0.268343816,,,,,,
10/05/2020,-0.015851484,0.043257034,0.038495898,-0.176859504,,,,,,
17/05/2020,0.104415672,-0.009930313,-0.02232725,-0.152610442,,,,,,
24/05/2020,-0.091034519,0.066514128,0.03440208,-0.009478673,,,,,,
31/05/2020,0.076298332,0.017818809,0.02915365,-0.028708134,,,,,,
07/06/2020,0.031475753,0.075052718,0.052117725,0.019704434,,,,,,
14/06/2020,-0.03812584,-0.09318456,-0.047052646,0.140096618,,,,,,
21/06/2020,-0.008859069,0.068008048,0.01988749,0.033898305,,,,,,
28/06/2020,-0.017202732,-0.037054427,-0.032140936,-0.108606557,,,,,,
05/07/2020,-0.007616233,0.016653258,0.040989259,-0.013793103,,,,,,
12/07/2020,0.022323,-0.019402067,0.019487441,0.011655012,,,,,,
19/07/2020,-0.009775521,0.053843724,0.012568723,-0.087557604,,,,,,
26/07/2020,0.078310898,-0.020006216,-0.003361702,0.017676768,,,,,,
02/08/2020,0.115944261,-0.031878109,0.017644006,-0.004962779,,,,,,
09/08/2020,0.056282496,0.068450931,0.024859727,0.037406484,,,,,,
16/08/2020,0.018591067,0.010778806,0.007214853,0.141826923,,,,,,
23/08/2020,-0.019167562,-0.017873265,0.00864514,0.058947368,,,,,,
30/08/2020,0.003999898,-0.006270011,0.032570149,0.071570577,,,,,,
06/09/2020,-0.122200707,-0.026161987,-0.022767674,0.419294991,,,,,,
13/09/2020,0.004222063,0.030183376,-0.025846437,-0.203921569,,,,,,
20/09/2020,0.059524424,0.013498972,-0.00323869,0.55500821,,,,,,
27/09/2020,-0.014979033,-0.03798998,-0.011747001,0.058078142,,,,,,
04/10/2020,-0.008352931,0.029420987,0.018082954,-0.062874252,,,,,,
11/10/2020,0.065492779,0.059147241,0.039001365,0.280085197,,,,,,
18/10/2020,0.00871189,0.014285656,0.002390867,0.107321131,,,,,,
25/10/2020,0.1347876,-0.013657675,-0.004889636,0.126972201,,,,,,
01/11/2020,0.054172829,-0.049473531,-0.056687475,-0.302,,,,,,
08/11/2020,0.126843134,0.052807222,0.07508581,0.132760267,,,,,,
15/11/2020,0.030751538,0.05246466,0.018908035,-0.071669477,,,,,,
22/11/2020,0.151320909,0.014790497,-0.002319694,0.154405086,,,,,,
29/11/2020,-0.010479998,0.034682862,0.026040515,0.265145555,,,,,,
06/12/2020,0.064235331,0.007956176,0.016995241,0.050995025,,,,,,
13/12/2020,-0.010480073,0.035455462,-0.012477752,-0.212426036,,,,,,
20/12/2020,0.226456244,0.019120321,0.016583958,0.174305034,,,,,,
27/12/2020,0.119051194,0.005885886,0.000110998,0.28918746,,,,,,
03/01/2021,0.247779211,-0.023162258,0.009209875,-0.065012407,,,,,,
10/01/2021,0.170044963,0.068888109,0.02155038,-0.061040287,,,,,,
17/01/2021,-0.066877009,0.006888453,-0.013669195,1.00678338,,,,,,
24/01/2021,-0.097842231,0.002898887,0.019314765,0.831267662,,,,,,
31/01/2021,0.025549592,-0.018730443,-0.03415055,3.999230734,,,,,,
07/02/2021,0.174820898,0.06068097,0.050543094,-0.803784615,,,,,,
14/02/2021,0.252261684,0.016774073,0.015298629,-0.178296974,,,,,,
21/02/2021,0.18109908,-0.019337879,-0.00727428,-0.225381709,,,,,,
28/02/2021,-0.215540278,-0.023061497,-0.028786769,1.506528652,,,,,,
07/03/2021,0.134453296,-0.040597604,0.004526816,0.353843205,,,,,,
14/03/2021,0.158097014,0.114109191,0.029184561,0.920284525,,,,,,
21/03/2021,-0.02999705,-0.021978085,-0.009070006,-0.242835524,,,,,,
28/03/2021,-0.027339747,-0.025744519,0.010310321,-0.096220121,,,,,,
04/04/2021,0.050183577,0.007390035,0.012496137,0.05773479,,,,,,
11/04/2021,0.024616163,0.006113082,0.027357769,-0.172838843,,,,,,
18/04/2021,-0.066253361,0.002651414,0.014816338,-0.023175038,,,,,,
25/04/2021,-0.128289208,0.001101785,-0.000789208,-0.0226906,,,,,,
30/04/2021,0.178472708,0.007043804,0.006614651,0.165432003,,,,,,
,,,,,,,,,,
,,,,,,,,,,
